"Libellé";"Fréquentation de passagers vols internationaux - Paris";"Codes"
"idBank";"010001981";""
"Période";"";""
"2018-01";"5.931";"A"
"2017-12";"6.165";"A"
"2017-11";"5.841";"A"
"2017-10";"7.06";"A"
"2017-09";"7.266";"A"
"2017-08";"8.045";"A"
"2017-07";"8.046";"A"
"2017-06";"7.03";"A"
"2017-05";"7.038";"A"
"2017-04";"7.058";"A"
"2017-03";"6.112";"A"
"2017-02";"5.342";"A"
"2017-01";"5.637";"A"
"2016-12";"5.941";"A"
"2016-11";"5.483";"A"
"2016-10";"6.765";"A"
"2016-09";"6.902";"A"
"2016-08";"7.747";"A"
"2016-07";"7.732";"A"
"2016-06";"6.657";"A"
"2016-05";"6.799";"A"
"2016-04";"6.496";"A"
"2016-03";"5.863";"A"
"2016-02";"5.045";"A"
"2016-01";"5.216";"A"
"2015-12";"5.409";"A"
"2015-11";"5.176";"A"
"2015-10";"6.736";"A"
"2015-09";"6.914";"A"
"2015-08";"7.882";"A"
"2015-07";"7.614";"A"
"2015-06";"6.799";"A"
"2015-05";"6.727";"A"
"2015-04";"6.241";"A"
"2015-03";"5.754";"A"
"2015-02";"4.871";"A"
"2015-01";"5.181";"A"
"2014-12";"5.559";"A"
"2014-11";"5.219";"A"
"2014-10";"6.418";"A"
"2014-09";"5.924";"A"
"2014-08";"7.55";"A"
"2014-07";"7.121";"A"
"2014-06";"6.666";"A"
"2014-05";"6.415";"A"
"2014-04";"6.312";"A"
"2014-03";"5.648";"A"
"2014-02";"4.713";"A"
"2014-01";"5.037";"A"
"2013-12";"5.347";"A"
"2013-11";"5.058";"A"
"2013-10";"6.075";"A"
"2013-09";"6.37";"A"
"2013-08";"7.076";"A"
"2013-07";"6.84";"A"
"2013-06";"6.268";"A"
"2013-05";"6.225";"A"
"2013-04";"5.83";"A"
"2013-03";"5.609";"A"
"2013-02";"4.441";"A"
"2013-01";"4.744";"A"
"2012-12";"5.103";"A"
"2012-11";"5.015";"A"
"2012-10";"5.8";"A"
"2012-09";"6.235";"A"
"2012-08";"6.742";"A"
"2012-07";"6.887";"A"
"2012-06";"6.14";"A"
"2012-05";"5.907";"A"
"2012-04";"5.958";"A"
"2012-03";"5.434";"A"
"2012-02";"4.553";"A"
"2012-01";"4.847";"A"
"2011-12";"5.154";"A"
"2011-11";"4.94";"A"
"2011-10";"5.881";"A"
"2011-09";"6.182";"A"
"2011-08";"6.626";"A"
